,Amplitude,Phase_circle,Phase,Decay_rate,Period,Rhythmicity
TRINITY_DN32386_c0_g2_i3.1,1.324691629,352.283772,14.66064238,0.842292827,14.98176094,rhythmic
TRINITY_DN165496_c0_g1_i9.1,0.084314723,227.7252759,8.724686244,0.960558443,13.79243931,rhythmic
TRINITY_DN184732_c0_g1_i10.1,0.009277893,287.4751589,9.830796064,1.127104775,12.31093009,rhythmic
TRINITY_DN2417_c0_g1_i11.1,64.15938041,249.7374841,7.842949587,0.520102821,11.30571913,nonrhythmic
TRINITY_DN40983_c0_g1_i4.1,0.044458175,39.60649402,0.964630707,1.031326854,8.767932209,rhythmic
TRINITY_DN39081_c0_g1_i2.1,0.166269969,55.8100337,1.966910981,0.939715902,12.68746686,rhythmic
TRINITY_DN10325_c2_g1_i8.1,0.180412482,229.3377825,8.127259659,1.110596561,12.7576601,rhythmic
TRINITY_DN27762_c1_g1_i3.1,0.623497803,294.3282751,8.595495474,0.902940198,10.51335747,rhythmic
TRINITY_DN9346_c0_g1_i3.1,9.686687375,199.5328753,7.237982467,1.268649621,13.05886904,nonrhythmic
TRINITY_DN22_c0_g2_i9.1,29.05737674,0,NA,1.379239487,Inf,nonrhythmic
TRINITY_DN22_c0_g2_i9.2,NA,0,NA,NA,Inf,nonrhythmic
TRINITY_DN3444_c1_g1_i1.1,2.063706903,60.36506029,2.097870021,0.906314251,12.51109837,rhythmic
TRINITY_DN35703_c0_g1_i1.1,0.035058248,224.3075266,9.13026494,1.010724931,14.65352245,rhythmic
TRINITY_DN44450_c0_g1_i3.1,1.13286058,223.3061334,7.463302981,1.140383262,12.0318642,rhythmic
TRINITY_DN3092_c0_g1_i2.1,1.713431168,280.5521382,8.164806289,1.045896558,10.47694836,rhythmic
TRINITY_DN87514_c0_g1_i1.1,1.630613011,298.0480632,8.650789589,0.997848148,10.44893303,rhythmic
TRINITY_DN64206_c0_g1_i10.1,2.503774874,303.5471274,9.722234872,1.004941091,11.53034978,rhythmic
TRINITY_DN9411_c0_g1_i2.1,3.756033482,77.36195346,2.693418827,0.893223829,12.53369046,rhythmic
TRINITY_DN7414_c1_g2_i1.1,0.232728979,183.2395599,7.982541851,0.950744204,15.68283109,rhythmic
TRINITY_DN9000_c3_g1_i9.1,0.429101238,93.76399472,2.737344308,0.967779559,10.50983327,rhythmic
TRINITY_DN10390_c0_g1_i1.1,2.156560304,280.5957429,8.693880671,0.86917322,11.15411449,rhythmic
TRINITY_DN31796_c0_g1_i5.1,0.749786867,357.2413185,14.46147831,0.895194144,14.57315244,rhythmic
TRINITY_DN80631_c0_g1_i1.1,0.139607446,250.232926,9.262923815,0.589198397,13.32619422,nonrhythmic
TRINITY_DN80916_c0_g2_i2.1,0.095377305,164.8846905,5.971814371,0.963350233,13.03852509,rhythmic
TRINITY_DN34749_c0_g1_i13.1,1.546385421,286.9358229,8.633185362,0.850456459,10.83150475,rhythmic
TRINITY_DN69887_c0_g1_i9.1,0.180740585,96.60819426,3.160042977,0.858686892,11.7755588,rhythmic
TRINITY_DN20949_c4_g1_i1.1,2.019137615,141.6101579,7.154901679,1.013046607,18.18912318,rhythmic
TRINITY_DN80188_c0_g1_i2.1,0.096234739,356.3509552,9.380292153,0.937403189,9.476346636,rhythmic
TRINITY_DN1327_c4_g1_i5.1,0.147206265,191.1400582,7.51712222,0.956772083,14.15801598,rhythmic
TRINITY_DN19767_c0_g1_i1.1,0.915473039,87.24865931,2.617937971,0.990851139,10.80197309,rhythmic
TRINITY_DN90142_c0_g1_i4.1,0.079618393,320.7806809,8.042069546,1.024950159,9.025309841,rhythmic
TRINITY_DN10025_c0_g1_i6.1,0.374139812,249.615243,8.48326413,0.70219514,12.23472994,nonrhythmic
TRINITY_DN45800_c1_g1_i1.1,0.175538782,291.3519378,8.961029948,1.092428054,11.07241917,rhythmic
TRINITY_DN21190_c2_g1_i6.1,0.525103013,244.2689434,7.885952324,0.667292919,11.62220132,nonrhythmic
TRINITY_DN11932_c0_g2_i2.1,14.01743236,286.5099118,9.135781712,1.074670518,11.47911915,rhythmic
TRINITY_DN22081_c1_g1_i1.1,1.751734242,252.3806178,6.694178474,0.862139744,9.548689879,rhythmic
TRINITY_DN33270_c0_g1_i12.1,0.058425965,277.2627757,15.33890843,0.979455445,19.91615001,rhythmic
TRINITY_DN23418_c1_g1_i2.1,0.360520257,3.44037271,0.114143936,0.950581616,11.94400156,rhythmic
TRINITY_DN1041_c13_g1_i7.1,0.046825549,200.8794422,7.823459904,1.019436855,14.0205764,rhythmic
TRINITY_DN25099_c0_g1_i3.1,0.260438981,258.0065808,7.351414969,0.922277347,10.25752669,rhythmic
TRINITY_DN4089_c0_g1_i4.1,4.250840345,171.7656469,4.986915052,1.491038972,10.45197017,nonrhythmic
TRINITY_DN10426_c0_g1_i14.1,7.084311385,328.4882987,8.989057757,0.996576263,9.85137311,rhythmic
TRINITY_DN51488_c0_g1_i19.1,0.024154789,282.6398362,9.931475211,1.011114906,12.64977763,rhythmic
TRINITY_DN10519_c0_g1_i11.1,5.709478526,277.2695911,13.51654825,1.399490828,17.54955295,nonrhythmic
TRINITY_DN12124_c0_g2_i1.1,0.383508832,190.9480561,12.99310618,1.040199409,24.49628616,rhythmic
TRINITY_DN11652_c0_g1_i8.1,6.647309058,242.2011793,8.513841888,0.658408298,12.65469924,nonrhythmic
TRINITY_DN88325_c0_g1_i15.1,0.348803325,334.6163364,9.233788193,0.885580869,9.934254213,rhythmic
TRINITY_DN67575_c0_g1_i9.1,0.060065968,277.9709996,11.35550032,0.949414879,14.70649859,rhythmic
TRINITY_DN5325_c1_g1_i5.1,0.872860293,147.9832665,5.938851175,0.807734656,14.4474877,rhythmic
TRINITY_DN35486_c0_g2_i1.1,36.1324315,306.8355414,8.525238706,0.944263314,10.00238082,rhythmic
TRINITY_DN1246_c1_g1_i2.1,0.326308624,104.8048873,4.851772412,0.892692822,16.66561659,rhythmic
TRINITY_DN38873_c0_g1_i4.1,0.361066353,6.302536093,0.280749591,1.309454929,16.03637825,nonrhythmic
TRINITY_DN444_c2_g1_i6.1,1.81666778,283.0005094,8.60741204,0.9327295,10.94933836,rhythmic
TRINITY_DN108564_c0_g1_i1.1,0.265986932,281.6249716,11.48326659,1.160391561,14.67901071,rhythmic
TRINITY_DN23203_c0_g1_i2.1,1.284969573,36.16622864,1.303811817,0.841915498,12.97819186,rhythmic
TRINITY_DN83720_c0_g1_i5.1,0.306480196,268.7169545,17.38777853,1.033375066,23.29440017,rhythmic
TRINITY_DN15610_c0_g1_i1.1,0.931254013,353.3110441,14.87513089,1.035173038,15.15674986,rhythmic
TRINITY_DN1591_c0_g1_i10.1,0.051763679,159.3837782,6.262760032,1.171650251,14.14569059,rhythmic
TRINITY_DN14044_c0_g1_i7.1,1.635609384,329.7496693,9.123605965,0.996799857,9.960580566,rhythmic
TRINITY_DN31659_c3_g1_i1.1,0.301696247,34.94537893,2.502806473,1.044144618,25.7833899,rhythmic
TRINITY_DN158966_c0_g1_i1.1,1.139263347,303.8753032,8.765544408,1.003327359,10.38450955,rhythmic
TRINITY_DN13398_c0_g1_i3.1,60.26456207,101.5405656,3.711493395,1.007446729,13.15865846,rhythmic
TRINITY_DN46870_c0_g1_i19.1,0.670275537,73.3649404,2.396546534,0.876447046,11.75979627,rhythmic
TRINITY_DN24704_c0_g1_i5.1,1.592209129,57.15500176,1.688998709,0.979683322,10.63843087,rhythmic
TRINITY_DN2583_c2_g1_i1.1,0.066918317,24.44217622,1.099892448,1.263547597,16.19991926,nonrhythmic
TRINITY_DN653_c2_g2_i1.1,0.011076566,193.8770354,7.882371372,1.010619108,14.63635798,rhythmic
TRINITY_DN7857_c0_g1_i85.1,0.640700079,318.544318,9.437379592,0.84855725,10.66556978,rhythmic
TRINITY_DN2407_c33_g1_i4.1,0.001084498,185.1198556,7.585444681,1.056536078,14.75130843,rhythmic
TRINITY_DN21263_c0_g1_i20.1,1.317592647,186.1654813,6.105308149,0.748093855,11.80622164,nonrhythmic
TRINITY_DN30585_c0_g1_i3.1,3.59459588,110.8071787,4.169177015,1.064460336,13.54518491,rhythmic
TRINITY_DN9350_c0_g1_i16.1,1.323800302,158.5785253,6.370220776,0.967274818,14.46147564,rhythmic
TRINITY_DN14405_c0_g1_i10.1,0.879655884,118.1421642,3.183789037,1.009258782,9.701566425,rhythmic
TRINITY_DN9068_c1_g1_i16.1,0.009048872,27.52689567,0.825334853,1.307338522,10.7938269,nonrhythmic
TRINITY_DN47020_c0_g1_i1.1,11.28990696,306.9458954,8.764402655,1.051265857,10.27928701,rhythmic
TRINITY_DN13158_c0_g1_i5.1,1.020793431,324.857772,9.309190706,0.852564194,10.31623357,rhythmic
TRINITY_DN28206_c0_g1_i7.1,0.550375841,17.26652035,0.643435648,0.872709798,13.41537429,rhythmic
TRINITY_DN71947_c1_g1_i4.1,117.0594553,82.4067365,2.828525233,1.052581648,12.35662431,rhythmic
TRINITY_DN55608_c1_g1_i1.1,1.815731325,312.5934096,10.91328099,0.956128109,12.56834289,rhythmic
TRINITY_DN8797_c2_g1_i5.1,0.210831195,34.25422996,1.105358921,1.045394797,11.61693642,rhythmic
TRINITY_DN186710_c0_g1_i9.1,0.36817781,280.9767756,8.030981021,0.798359828,10.28965174,nonrhythmic
TRINITY_DN21081_c0_g1_i8.1,0.034128198,311.5571492,10.18617236,1.050444609,11.76998204,rhythmic
TRINITY_DN6342_c0_g1_i7.1,0.711604551,24.59336066,0.889624436,0.9023545,13.02240883,rhythmic
TRINITY_DN13942_c10_g1_i2.1,0.502576479,256.0916951,8.668365328,0.938068215,12.18552408,rhythmic
TRINITY_DN22790_c0_g1_i19.1,0.105934015,182.1479273,6.31063547,0.980884512,12.47243821,rhythmic
TRINITY_DN175341_c0_g1_i4.1,0.190327176,357.8090001,10.01186877,0.981625852,10.07317523,rhythmic
TRINITY_DN22950_c0_g1_i4.1,1.340222073,238.9196812,8.011428922,1.084696254,12.07148108,rhythmic
TRINITY_DN93174_c1_g1_i6.1,1.578436764,281.6608175,9.823020571,1.045803421,12.55512725,rhythmic
